username,repo name,repo url,star count
bitwarden,server,https://github.com/bitwarden/server,13200
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,11900
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,11300
abpframework,abp,https://github.com/abpframework/abp,10500
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,8400
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,6900
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,6400
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,6100
FastEndpoints,FastEndpoints,https://github.com/FastEndpoints/FastEndpoints,3200
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2800
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2600
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2500
serenity-is,Serenity,https://github.com/serenity-is/Serenity,2500
mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,2400
loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,2400
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1500
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1200
MarimerLLC,csla,https://github.com/MarimerLLC/csla,1100
smartstore,Smartstore,https://github.com/smartstore/Smartstore,873
antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,804
