username,repo name,repo url,star count
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,265000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,176000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,169000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,167000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,95100
kdn251,interviews,https://github.com/kdn251/interviews,60400
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,53700
azl397985856,leetcode,https://github.com/azl397985856/leetcode,52500
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,44300
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,42200
krahets,hello-algo,https://github.com/krahets/hello-algo,33400
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,30600
huihut,interview,https://github.com/huihut/interview,30500
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,27900
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,27900
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,27000
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,25800
keon,algorithms,https://github.com/keon/algorithms,23000
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,21800
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,21800
