username,repo name,repo url,star count
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,58200
localstack,localstack,https://github.com/localstack/localstack,48600
serverless,serverless,https://github.com/serverless/serverless,45200
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,25600
sst,sst,https://github.com/sst/sst,17700
pulumi,pulumi,https://github.com/pulumi/pulumi,17600
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,14500
aws,aws-cli,https://github.com/aws/aws-cli,14300
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,14300
getsops,sops,https://github.com/getsops/sops,13800
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,11700
caprover,caprover,https://github.com/caprover/caprover,11000
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,10800
aws,aws-cdk,https://github.com/aws/aws-cdk,10600
apereo,cas,https://github.com/apereo/cas,10300
aws,chalice,https://github.com/aws/chalice,10000
infracost,infracost,https://github.com/infracost/infracost,9600
aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,9300
google,go-cloud,https://github.com/google/go-cloud,9200
aws,serverless-application-model,https://github.com/aws/serverless-application-model,9100
