username,repo name,repo url,star count
flutter,flutter,https://github.com/flutter/flutter,157000
facebook,react-native,https://github.com/facebook/react-native,112000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,105000
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,91400
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,69300
google,material-design-icons,https://github.com/google/material-design-icons,48700
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,48500
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,47400
square,okhttp,https://github.com/square/okhttp,44500
android,architecture-samples,https://github.com/android/architecture-samples,43200
square,retrofit,https://github.com/square/retrofit,42000
laurent22,joplin,https://github.com/laurent22/joplin,38700
dcloudio,uni-app,https://github.com/dcloudio/uni-app,38600
fastlane,fastlane,https://github.com/fastlane/fastlane,37500
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,36800
skylot,jadx,https://github.com/skylot/jadx,36300
airbnb,lottie-android,https://github.com/airbnb/lottie-android,34200
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,34000
bumptech,glide,https://github.com/bumptech/glide,33900
appwrite,appwrite,https://github.com/appwrite/appwrite,33200
