username,repo name,repo url,star count
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,105000
angular,angular,https://github.com/angular/angular,90400
storybookjs,storybook,https://github.com/storybookjs/storybook,80400
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,57800
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,49500
prettier,prettier,https://github.com/prettier/prettier,46700
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,38500
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,33600
angular,angular-cli,https://github.com/angular/angular-cli,26300
angular,components,https://github.com/angular/components,23700
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,23000
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,22200
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,20900
pubkey,rxdb,https://github.com/pubkey/rxdb,19700
nrwl,nx,https://github.com/nrwl/nx,19400
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,17900
wailsapp,wails,https://github.com/wailsapp/wails,17600
teambit,bit,https://github.com/teambit/bit,17000
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,16200
jasontaylordev,CleanArchitecture,https://github.com/jasontaylordev/CleanArchitecture,13200
