username,repo name,repo url,star count
ansible,ansible,https://github.com/ansible/ansible,58700
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,58200
trailofbits,algo,https://github.com/trailofbits/algo,27700
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,23900
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,23000
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,14500
ansible,awx,https://github.com/ansible/awx,12600
easzlab,kubeasz,https://github.com/easzlab/kubeasz,9500
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,7800
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,7500
khuedoan,homelab,https://github.com/khuedoan/homelab,7200
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,7100
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,5500
rundeck,rundeck,https://github.com/rundeck/rundeck,5100
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,4800
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,4600
clong,DetectionLab,https://github.com/clong/DetectionLab,4300
ansible,molecule,https://github.com/ansible/molecule,3700
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,3500
dev-sec,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,3400
