username,repo name,repo url,star count
sindresorhus,awesome,https://github.com/sindresorhus/awesome,270000
vinta,awesome-python,https://github.com/vinta/awesome-python,182000
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,150000
avelino,awesome-go,https://github.com/avelino/awesome-go,109000
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,108000
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,76600
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,75600
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,69300
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,63700
enaqx,awesome-react,https://github.com/enaqx/awesome-react,58300
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,57700
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,56900
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,52900
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,49300
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,49200
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,48500
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,48400
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,47400
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,44000
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,42500
