username,repo name,repo url,star count
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,58200
pulumi,pulumi,https://github.com/pulumi/pulumi,17600
recommenders-team,recommenders,https://github.com/recommenders-team/recommenders,16400
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,14300
getsops,sops,https://github.com/getsops/sops,13800
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,13200
caprover,caprover,https://github.com/caprover/caprover,11000
infracost,infracost,https://github.com/infracost/infracost,9600
google,go-cloud,https://github.com/google/go-cloud,9200
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,9100
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,8600
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,7200
Netflix,metaflow,https://github.com/Netflix/metaflow,7000
midwayjs,midway,https://github.com/midwayjs/midway,6900
node-formidable,formidable,https://github.com/node-formidable/formidable,6800
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,6400
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,6300
budtmo,docker-android,https://github.com/budtmo/docker-android,6100
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,6100
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,5900
