username,repo name,repo url,star count
babel,babel,https://github.com/babel/babel,42500
swc-project,swc,https://github.com/swc-project/swc,28600
nylas,nylas-mail,https://github.com/nylas/nylas-mail,24800
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,21900
avajs,ava,https://github.com/avajs/ava,20500
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,15400
grab,front-end-guide,https://github.com/grab/front-end-guide,15000
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,11800
developit,htm,https://github.com/developit/htm,8300
grommet,grommet,https://github.com/grommet/grommet,8200
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,7500
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6100
documentationjs,documentation,https://github.com/documentationjs/documentation,5700
fkling,astexplorer,https://github.com/fkling/astexplorer,5600
insin,nwb,https://github.com/insin/nwb,5600
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5300
egoist,poi,https://github.com/egoist/poi,5300
duxianwei520,react,https://github.com/duxianwei520/react,4900
transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library,4800
babel,babel-loader,https://github.com/babel/babel-loader,4800
