username,repo name,repo url,star count
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,140000
nvm-sh,nvm,https://github.com/nvm-sh/nvm,70300
junegunn,fzf,https://github.com/junegunn/fzf,54500
google,zx,https://github.com/google/zx,38600
starship,starship,https://github.com/starship/starship,36500
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,34800
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,34600
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,33200
koalaman,shellcheck,https://github.com/koalaman/shellcheck,33100
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,29300
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,28600
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,25100
withfig,autocomplete,https://github.com/withfig/autocomplete,23000
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,18800
asdf-vm,asdf,https://github.com/asdf-vm/asdf,18600
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,17600
kingToolbox,WindTerm,https://github.com/kingToolbox/WindTerm,16900
rbenv,rbenv,https://github.com/rbenv/rbenv,15300
warpdotdev,Warp,https://github.com/warpdotdev/Warp,15300
charmbracelet,gum,https://github.com/charmbracelet/gum,14700
