username,repo name,repo url,star count
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,71500
ccxt,ccxt,https://github.com/ccxt/ccxt,29200
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,23000
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,18000
solana-labs,solana,https://github.com/solana-labs/solana,10600
bbfamily,abu,https://github.com/bbfamily/abu,10500
askmike,gekko,https://github.com/askmike/gekko,10000
dvf,blockchain,https://github.com/dvf/blockchain,7500
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7200
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,7100
spesmilo,electrum,https://github.com/spesmilo/electrum,6600
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6600
butor,blackbird,https://github.com/butor/blackbird,5800
btcsuite,btcd,https://github.com/btcsuite/btcd,5500
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,5400
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,5100
getumbrel,umbrel,https://github.com/getumbrel/umbrel,5000
anders94,blockchain-demo,https://github.com/anders94/blockchain-demo,4900
jesse-ai,jesse,https://github.com/jesse-ai/jesse,4800
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,4700
