username,repo name,repo url,star count
ccxt,ccxt,https://github.com/ccxt/ccxt,29200
discordjs,discord.js,https://github.com/discordjs/discord.js,23900
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,23100
wechaty,wechaty,https://github.com/wechaty/wechaty,17300
RasaHQ,rasa,https://github.com/RasaHQ/rasa,17000
hubotio,hubot,https://github.com/hubotio/hubot,16500
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,15700
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,13600
leon-ai,leon,https://github.com/leon-ai/leon,13500
Rapptz,discord.py,https://github.com/Rapptz/discord.py,13500
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,13100
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,12000
howdyai,botkit,https://github.com/howdyai/botkit,11200
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,9600
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,9600
lss233,chatgpt-mirai-qq-bot,https://github.com/lss233/chatgpt-mirai-qq-bot,9300
microsoft,ailab,https://github.com/microsoft/ailab,7500
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,7400
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,7200
telegraf,telegraf,https://github.com/telegraf/telegraf,7000
