username,repo name,repo url,star count
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,167000
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,116000
azl397985856,leetcode,https://github.com/azl397985856/leetcode,52500
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,49200
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,42200
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,41600
Light-City,CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings,33200
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,31300
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,30800
huihut,interview,https://github.com/huihut/interview,30500
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,28200
microsoft,calculator,https://github.com/microsoft/calculator,27700
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,25800
doocs,leetcode,https://github.com/doocs/leetcode,23300
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,21700
dragonflydb,dragonfly,https://github.com/dragonflydb/dragonfly,21100
ethereum,solidity,https://github.com/ethereum/solidity,20900
gabime,spdlog,https://github.com/gabime/spdlog,20000
microsoft,vcpkg,https://github.com/microsoft/vcpkg,19700
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,17900
