username,repo name,repo url,star count
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,91400
neovim,neovim,https://github.com/neovim/neovim,69600
obsproject,obs-studio,https://github.com/obsproject/obs-studio,50400
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,49200
git,git,https://github.com/git/git,47400
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,38500
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,36900
vim,vim,https://github.com/vim/vim,32900
curl,curl,https://github.com/curl/curl,31300
huihut,interview,https://github.com/huihut/interview,30500
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,25200
mpv-player,mpv,https://github.com/mpv-player/mpv,23600
ossrs,srs,https://github.com/ossrs/srs,22700
google,flatbuffers,https://github.com/google/flatbuffers,21100
ruby,ruby,https://github.com/ruby/ruby,20800
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,19900
microsoft,vcpkg,https://github.com/microsoft/vcpkg,19700
oracle,graal,https://github.com/oracle/graal,19000
radareorg,radare2,https://github.com/radareorg/radare2,18600
hashcat,hashcat,https://github.com/hashcat/hashcat,18300
