username,repo name,repo url,star count
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,41200
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,25100
refined-github,refined-github,https://github.com/refined-github/refined-github,21700
openai-translator,openai-translator,https://github.com/openai-translator/openai-translator,18400
darkreader,darkreader,https://github.com/darkreader/darkreader,17300
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14800
dailydotdev,daily,https://github.com/dailydotdev/daily,14100
unbug,codelf,https://github.com/unbug/codelf,13800
wong2,chatgpt-google-extension,https://github.com/wong2/chatgpt-google-extension,13300
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,12000
immersive-translate,immersive-translate,https://github.com/immersive-translate/immersive-translate,11600
Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,11500
crimx,ext-saladict,https://github.com/crimx/ext-saladict,11100
listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,10500
josStorer,chatGPTBox,https://github.com/josStorer/chatGPTBox,8800
alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,8600
appbaseio,dejavu,https://github.com/appbaseio/dejavu,8200
AutomaApp,automa,https://github.com/AutomaApp/automa,8200
chathub-dev,chathub,https://github.com/chathub-dev/chathub,8200
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,7600
