username,repo name,repo url,star count
metabase,metabase,https://github.com/metabase/metabase,34200
logseq,logseq,https://github.com/logseq/logseq,25200
penpot,penpot,https://github.com/penpot/penpot,23100
deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,13200
LightTable,LightTable,https://github.com/LightTable/LightTable,11700
kanaka,mal,https://github.com/kanaka/mal,9500
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,9000
tonsky,datascript,https://github.com/tonsky/datascript,5200
reagent-project,reagent,https://github.com/reagent-project/reagent,4700
riemann,riemann,https://github.com/riemann/riemann,4200
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,4100
weavejester,compojure,https://github.com/weavejester/compojure,4000
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,4000
status-im,status-mobile,https://github.com/status-im/status-mobile,3700
ring-clojure,ring,https://github.com/ring-clojure/ring,3600
babashka,babashka,https://github.com/babashka/babashka,3500
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3500
defold,defold,https://github.com/defold/defold,3200
viebel,klipse,https://github.com/viebel/klipse,3100
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,3000
