username,repo name,repo url,star count
ovity,octotree,https://github.com/ovity/octotree,22500
gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,11500
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,6700
danger,danger,https://github.com/danger/danger,5200
danger,danger-js,https://github.com/danger/danger-js,5000
joho,awesome-code-review,https://github.com/joho/awesome-code-review,4000
ajinabraham,nodejsscan,https://github.com/ajinabraham/nodejsscan,2200
Codium-ai,pr-agent,https://github.com/Codium-ai/pr-agent,2100
microsoft,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,2100
houndci,hound,https://github.com/houndci/hound,1900
mbj,mutant,https://github.com/mbj/mutant,1900
crev-dev,cargo-crev,https://github.com/crev-dev/cargo-crev,1900
reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,1500
Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,1500
ryanmcdermott,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,1400
bit4woo,python_sec,https://github.com/bit4woo/python_sec,1200
code-review-checklists,java-concurrency,https://github.com/code-review-checklists/java-concurrency,1200
TeamCodeStream,codestream,https://github.com/TeamCodeStream/codestream,908
coderabbitai,ai-pr-reviewer,https://github.com/coderabbitai/ai-pr-reviewer,888
jiangsir404,Audit-Learning,https://github.com/jiangsir404/Audit-Learning,874
