username,repo name,repo url,star count
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,163000
junegunn,fzf,https://github.com/junegunn/fzf,54500
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,43400
sharkdp,bat,https://github.com/sharkdp/bat,43100
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,40100
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,39000
google,zx,https://github.com/google/zx,38600
wagoodman,dive,https://github.com/wagoodman/dive,38500
chubin,cheat.sh,https://github.com/chubin/cheat.sh,36100
n8n-io,n8n,https://github.com/n8n-io/n8n,33800
spf13,cobra,https://github.com/spf13/cobra,33500
cli,cli,https://github.com/cli/cli,33300
httpie,cli,https://github.com/httpie/cli,29300
sharkdp,fd,https://github.com/sharkdp/fd,28900
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,28600
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,27900
acheong08,ChatGPT,https://github.com/acheong08/ChatGPT,27300
angular,angular-cli,https://github.com/angular/angular-cli,26300
tqdm,tqdm,https://github.com/tqdm/tqdm,25800
google,python-fire,https://github.com/google/python-fire,25300
