username,repo name,repo url,star count
vercel,next.js,https://github.com/vercel/next.js,112000
rust-lang,rust,https://github.com/rust-lang/rust,85600
sveltejs,svelte,https://github.com/sveltejs/svelte,72700
webpack,webpack,https://github.com/webpack/webpack,63500
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,54700
JetBrains,kotlin,https://github.com/JetBrains/kotlin,45800
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,42700
babel,babel,https://github.com/babel/babel,42500
evanw,esbuild,https://github.com/evanw/esbuild,36100
vlang,v,https://github.com/vlang/v,34600
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,31300
markedjs,marked,https://github.com/markedjs/marked,30500
FuelLabs,sway,https://github.com/FuelLabs/sway,28800
swc-project,swc,https://github.com/swc-project/swc,28600
ziglang,zig,https://github.com/ziglang/zig,26000
vercel,pkg,https://github.com/vercel/pkg,23800
v8,v8,https://github.com/v8/v8,21700
typst,typst,https://github.com/typst/typst,20900
AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,15900
RustPython,RustPython,https://github.com/RustPython/RustPython,15600
