username,repo name,repo url,star count
mrdoob,three.js,https://github.com/mrdoob/three.js,94600
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,23800
libgdx,libgdx,https://github.com/libgdx/libgdx,22000
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,21400
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,17900
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,16100
aframevr,aframe,https://github.com/aframevr/aframe,15700
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,15200
CesiumGS,cesium,https://github.com/CesiumGS/cesium,11000
metafizzy,zdog,https://github.com/metafizzy/zdog,10000
blender,blender,https://github.com/blender/blender,9500
isl-org,Open3D,https://github.com/isl-org/Open3D,9500
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,9100
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7500
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,6700
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,6600
nerfstudio-project,nerfstudio,https://github.com/nerfstudio-project/nerfstudio,6600
google,model-viewer,https://github.com/google/model-viewer,6000
openscad,openscad,https://github.com/openscad/openscad,5900
spritejs,spritejs,https://github.com/spritejs/spritejs,5200
